price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
7.500TL,truva'dan zi̇raat bankasi arkasi salon mutfak ayri ara kat 2+1,85 M2,2+1,5,2.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,,
2.750TL,a.y.s. gayri̇menkul ' dan 2+1 ki̇ralik dai̇re,120 M2,2+1,5,3.Kat,Kombi Doğalgaz,,130 M2,5-10,,Hayır,,
7.000TL,samsun türki̇şte 4. kat masrafsiz ki̇ralik dai̇re,95 M2,2+1,4,4.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,1,
7.000TL,atakent cağaloğlu 2 sokak üzeri̇ ki̇ralik 1+1 full eşyali dai̇re,55 M2,1+1,10,1.Kat,Kombi Doğalgaz,Eşyalı,60 M2,5-10,,Hayır,1,
12.000TL,atasoy gyo güvencesi̇ i̇le ki̇ralik dai̇re,100 M2,2+1,3,3.Kat,Kombi Doğalgaz,,110 M2,21 Ve Üzeri,,Hayır,,
12.500TL,emlak kent'ten küçük kolpınar da sıfır eşyalı kiralık 1+1,45 M2,1+1,3,1.Kat,Kombi Doğalgaz,Eşyalı,50 M2,0 (Yeni),,Hayır,,
16.000TL,emlak kent 'ten yenimahalle tramvay altında kiralık 3+1 daire,120 M2,3+1,4,2.Kat,Kombi Doğalgaz,Boş,140 M2,16-20,,Hayır,,
20.000TL,emlak kent'ten eşyalı 1+1 kiralık daire,48 M2,1+1,6,Düz Giriş (Zemin),Yerden Isıtma,Eşyalı,58 M2,1,,Hayır,,
21.000TL,truva'dan fi̇nal li̇sesi̇ üstü cağaloğlu'na yakin ara kat 1+1 dai̇re,60 M2,1+1,7,2.Kat,Kombi Doğalgaz,,65 M2,5-10,,Hayır,,
12.500TL,sezgi̇n aslan'dan çi̇ftli̇k mevki̇ eşyali ki̇ralik 1+1 dai̇re,60 M2,1+1,5,Bahçe Katı,Kombi Doğalgaz,Eşyalı,70 M2,21 Ve Üzeri,,Hayır,,
13.000TL,hi̇sar gayri̇menkul'den kiran toki̇'de 3+1 ki̇ralik dai̇re,120 M2,3+1,8,Yüksek Giriş,Kombi Doğalgaz,Boş,130 M2,1,,Hayır,,
12.500TL,köprü grup'tan ki̇ralik 3+1 dai̇re,145 M2,3+1,10,2.Kat,Kombi Doğalgaz,Boş,160 M2,5-10,,Hayır,,
8.500TL,köprü grup'tan ki̇ralik 2+1 dai̇re,85 M2,2+1,9,6.Kat,Kombi Doğalgaz,Boş,100 M2,3,,Hayır,,
13.000TL,köprü grup'tan ki̇ralik merkezi̇ eşyali 1+1 dai̇re,53 M2,1+1,5,1.Kat,Kombi Doğalgaz,Eşyalı,58 M2,5-10,,Hayır,,
19.000TL,ataşehi̇r'den tramvaya 2 sokak sahi̇le 5 dk eşyali 1+1,58 M2,1+1,5,3.Kat,Kombi Doğalgaz,Eşyalı,65 M2,3,,Hayır,,
26.000TL,ataşehi̇r'den yeni̇mahalle'de merkezi̇ konumda ki̇ralik 3+1 dai̇re,135 M2,1+1,6,5.Kat,Kombi Doğalgaz,Boş,145 M2,4,,Hayır,,
18.500TL,evi̇m-nur'dan yeni̇doğan mh 2+1 eşyali ki̇ralik firsat dai̇re,90 M2,2+1,3,3.Kat,Kombi Doğalgaz,Eşyalı,100 M2,21 Ve Üzeri,,Hayır,1,
16.000TL,suitline emlak dan eşyalı kiralık 1+1 daire,50 M2,1+1,5,Düz Giriş (Zemin),Kombi Doğalgaz,Eşyalı,55 M2,0 (Yeni),,Hayır,,
12.500TL,samsun türki̇şte 4. kat masrafsiz ki̇ralik dai̇re,95 M2,2+1,4,4.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,1,
10.000TL,atakent cağaloğlu 2 sokak üzeri̇ ki̇ralik 1+1 full eşyali dai̇re,55 M2,1+1,10,1.Kat,Kombi Doğalgaz,Eşyalı,60 M2,5-10,,Hayır,1,
23.000TL,atasoy gyo güvencesi̇ i̇le ki̇ralik dai̇re,100 M2,2+1,3,3.Kat,Kombi Doğalgaz,,110 M2,21 Ve Üzeri,,Hayır,,
9.000TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 4. kat,140 M2,3+1,5,4.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
8.000TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 3. kat,140 M2,3+1,5,3.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
13.500TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 2. kat,140 M2,3+1,5,2.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
11.000TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 1. kat,140 M2,3+1,5,1.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
6.500TL,revi̇zyon mari̇na'dan atakum rezi̇dans'ta eşyali ki̇ralik 1+1 dai̇re,45 M2,1+1,15,9.Kat,Merkezi Doğalgaz,Eşyalı,55 M2,11-15,1080 TL,Hayır,,
8.500TL,süper 1+1 kiralık daire,55 M2,1+1,4,1.Kat,Kombi Doğalgaz,Eşyalı,60 M2,0 (Yeni),,Hayır,,
15.000TL,emre köse'den i̇lkadim kiranköy toki̇'de ki̇ralik 3+1 dai̇re,145 M2,3+1,7,4.Kat,Merkezi (Pay Ölçer),Boş,165 M2,4,,Hayır,,
7.500TL,samsun i̇lkadim i̇stasyon mahallesi̇nde doğalgazli merkezi̇ konumda 2+1 ki̇ralik dai̇re,65 M2,2+1,5,3.Kat,Kombi Doğalgaz,Boş,75 M2,21 Ve Üzeri,,Hayır,,
15.000TL,çamlicadan m.si̇nanda cağaloğluna cephe ki̇ralik 2+1 dai̇re,60 M2,2+1,10,Bahçe Katı,Kombi Doğalgaz,,70 M2,5-10,,Hayır,,
